,Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
0,DEL_C_1_0,C,1.0,1.0,D,0.016628456,0.607838616,0.0,0.608976228,0.0,0.0,0.0,3.066721966,38.853026196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DEL_C_1_1,C,1.0,2.0,D,0.080446392,0.0027846000000000004,0.0,0.22972899600000005,0.0,0.0,0.0,1.8415272259999997,11.599330215999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DEL_C_1_2,C,1.0,3.0,D,3.4423999999999995e-16,0.00039186,0.0,0.171449292,0.0,0.0,0.0,0.256452658,0.31211598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEL_C_1_3,C,1.0,4.0,D,0.19839175199999998,0.31148157600000004,0.0,0.093431772,0.0,0.0,0.0,0.4160427810000001,1.232548256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DEL_C_1_4,C,1.0,5.0,D,0.07342296,0.48597897599999995,0.0,0.09035745599999999,0.0,0.0,0.0,0.09822959299999999,1.449640632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DEL_C_1_5+,C,1.0,6.0,D,0.35049196,1.8415434239999997,0.0,0.18867895199999998,0.0,0.0,0.0,0.07189713299999999,0.0051968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DEL_T_1_0,T,1.0,1.0,D,0.13640692,0.9961517160000001,0.0,0.557344368,0.0,0.0,0.0,2.636763899,12.192223268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DEL_T_1_1,T,1.0,2.0,D,3.4423999999999995e-16,4.977e-16,0.0,0.136287144,0.0,0.0,0.0,0.804809852,5.138062355999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DEL_T_1_2,T,1.0,3.0,D,0.097391112,0.8865886680000001,0.0,0.22120602,0.0,0.0,0.0,0.69238631,9.959986896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DEL_T_1_3,T,1.0,4.0,D,0.23876892,2.549577618,0.0,0.025707192,0.0,0.0,0.0,0.7565284649999999,13.137076908000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DEL_T_1_4,T,1.0,5.0,D,0.44630788800000004,5.93711055,0.0,0.085948968,0.0,0.0,0.0,0.09808106,10.951877492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DEL_T_1_5+,T,1.0,6.0,D,3.4423999999999995e-16,102.65184997200001,0.0,0.012973128,0.0,0.0,0.0,0.817766334,0.10786085999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,INS_C_1_0,C,1.0,1.0,I,3.4423999999999995e-16,4.977e-16,0.0,5.5608e-16,0.0,0.0,0.0,0.21284886699999997,6.275600000000001e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,INS_C_1_1,C,1.0,2.0,I,3.4423999999999995e-16,0.028605276,0.0,0.022881515999999998,0.0,0.0,0.0,0.16702216299999997,0.00022388000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,INS_C_1_2,C,1.0,3.0,I,3.4423999999999995e-16,0.0033012,0.0,0.005779199999999999,0.0,0.0,0.0,0.11757899999999999,0.04090426800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,INS_C_1_3,C,1.0,4.0,I,0.08798254400000001,0.0541863,0.0,0.043048404,0.0,0.0,0.0,0.008972348,6.275600000000001e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,INS_C_1_4,C,1.0,5.0,I,0.18569460000000002,0.36689259599999996,0.0,5.5608e-16,0.0,0.0,0.0,0.042671629,0.00025056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,INS_C_1_5+,C,1.0,6.0,I,2.526839744,1.136209536,0.0,0.020928012,0.0,0.0,0.0,0.037690653,0.0085492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,INS_T_1_0,T,1.0,1.0,I,0.23751769599999997,0.16739805600000002,0.0,0.02802786,0.0,0.0,0.0,0.347114383,1.4632801439999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,INS_T_1_1,T,1.0,2.0,I,0.0041912,4.977e-16,0.0,0.084843696,0.0,0.0,0.0,0.374889592,1.204691784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,INS_T_1_2,T,1.0,3.0,I,0.02005796,0.081526158,0.0,0.0008904,0.0,0.0,0.0,0.110081972,0.268500908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,INS_T_1_3,T,1.0,4.0,I,0.44129976800000004,0.136442754,0.0,0.01461054,0.0,0.0,0.0,0.083721022,0.18570266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,INS_T_1_4,T,1.0,5.0,I,1.7315092079999999,0.439420086,0.0,0.001344,0.0,0.0,0.0,0.063341586,0.18390118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,INS_T_1_5+,T,1.0,6.0,I,92.65427225600001,0.39470571,0.0,0.069965784,0.0,0.0,0.0,1.552416096,0.66960768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,DEL_repeats_2_0,,,,,0.071348784,0.020639934,0.0,6.024833976000001,0.0,0.0,0.0,0.675229863,1.5282706519999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,DEL_repeats_2_1,,,,,0.126876776,0.44967951,0.0,19.36308192,0.0,0.0,0.0,0.793650165,0.37103075599999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,DEL_repeats_2_2,,,,,0.049165896,0.23304632399999997,0.0,4.624989264,0.0,0.0,0.0,0.040966002,0.138004852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,DEL_repeats_2_3,,,,,0.04437888,0.09311954399999998,0.0,1.076124504,0.0,0.0,0.0,0.0020867,0.011124400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,DEL_repeats_2_4,,,,,0.005678400000000001,0.111123432,0.0,0.270414312,0.0,0.0,0.0,0.021100078999999997,6.275600000000001e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
